"Date","Tsurf","Tbot","Ssurf","Sbot"
2019-07-22,30.46908641,30.72954051,10.83815018,11.82747634
2019-07-23,29.71351107,29.99014242,8.904609561,9.806465785
2019-07-24,29.83096234,32.01628264,9.663312395,17.94105144
2019-07-25,31.38246791,33.102314,15.43215374,21.43382891
2019-07-26,30.68578482,31.49206686,15.92085195,19.46421154
2019-07-27,30.28648321,30.90976214,11.85300899,16.56924097
2019-07-28,30.42915916,31.67501473,10.7602551,15.80033819
2019-07-29,30.37610722,31.60319519,10.88776354,15.57347536
2019-07-30,30.55744322,31.70510475,11.64124084,15.27605395
2019-07-31,30.72417529,33.07855097,11.46670922,17.45639396
2019-08-01,31.12054435,32.73015722,12.11883235,15.79790501
2019-08-02,31.28504841,33.68013239,12.69678668,16.89906025
2019-08-03,31.46449049,34.55975119,12.62961765,19.45632021
2019-08-04,31.43564924,34.66835292,12.87637146,17.76024763
2019-08-05,30.64178554,30.91193151,12.02206159,13.01287492
2019-08-06,30.28615856,30.51126313,9.685455084,10.51808631
2019-08-07,30.8555665,30.86652883,9.436065396,9.435139815
2019-08-08,31.00955534,31.01946918,9.704548558,9.701995571
2019-08-09,31.17182366,31.20332901,10.2914983,10.42706112
2019-08-10,31.32670641,31.38807066,10.50659192,10.99606649
2019-08-11,31.19067121,32.59747132,10.15530316,13.38296191
2019-08-12,31.31648858,32.53137072,11.06031068,14.19409891
2019-08-13,31.92664822,32.70213175,11.15830529,14.09924869
2019-08-14,32.30310615,34.14714384,11.44529196,16.73006996
2019-08-15,32.38481069,34.85835282,11.36203436,19.44305297
2019-08-16,32.43778912,35.1740276,10.87478483,20.55621767
2019-08-17,32.4315087,32.78736957,11.96289519,13.47750151
2019-08-18,32.02831785,32.25867565,13.03476302,13.54695813
2019-08-19,31.22058066,31.20384955,13.32064164,13.69511187
2019-08-20,30.63077426,30.66193676,13.66674745,13.67054649
2019-08-21,30.38099519,30.34084813,14.19306775,14.77725319
2019-08-22,30.63621529,30.52354058,14.84857957,15.26687495
2019-08-23,31.01077549,30.8676815,15.42177852,15.50965997
